"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8280842,0.0091674,0.8093658,0.8453159,"     ","       "
"S sA g1 c118 a115 o116 t233",0.7997474,0.0045165,0.7907483,0.8084532,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8296202,0.0086411,0.8120091,0.8458946,"     ","       "
"S sB g1 c118 a115 o116 t233",0.8014759,0.0052854,0.7909128,0.8116324,"     ","       "
"S sC g1 c118 a0 o1 t118",0.2179944,0.027867,0.1682906,0.2774805,"     ","       "
"S sC g1 c118 a115 o116 t233",0.1877364,0.023888,0.1453159,0.2390764,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2434118,0.0040601,0.2355425,0.2514575,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0286378,0.0057724,0.0192522,0.0424011,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0114314,0.0013831,0.0090153,0.0144855,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0109562,0.0042261,0.0051313,0.0232385,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0043261,0.0014521,0.002239,0.0083425,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0314726,0.0055159,0.0222844,0.0442778,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.012585,0.0016492,0.0097306,0.0162631,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.0158849,0.0045468,0.0090451,0.0277521,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0062912,0.0017665,0.0036255,0.0108952,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.1254309,0.0578349,0.0485531,0.287281,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0532569,0.0256913,0.0203005,0.1324806,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.1127401,0.0567459,0.0401197,0.2786507,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0474721,0.0261429,0.015795,0.1340271,"     ","       "
