"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c123 a0 o1 t123",0.8350039,0.009458,0.8156217,0.8527164,"     ","       "
"S sA g1 c123 a110 o111 t233",0.7968081,0.004446,0.7879546,0.8053833,"     ","       "
"S sB g1 c123 a0 o1 t123",0.8353414,0.0089364,0.8170707,0.8521176,"     ","       "
"S sB g1 c123 a110 o111 t233",0.7972049,0.0051972,0.7868274,0.807201,"     ","       "
"S sC g1 c123 a0 o1 t123",0.2143943,0.0273358,0.1656546,0.272786,"     ","       "
"S sC g1 c123 a110 o111 t233",0.1745541,0.0220676,0.1354184,0.2220946,"     ","       "
"p sA g1 c123 a1 o1 t124",0.2578496,0.0041014,0.249893,0.2659698,"     ","       "
"Psi sA toB g1 c123 a0 o1 t123",0.0298352,0.0061361,0.0198933,0.0445201,"     ","       "
"Psi sA toB g1 c123 a110 o111 t233",0.0117804,0.0013792,0.0093621,0.0148139,"     ","       "
"Psi sA toC g1 c123 a0 o1 t123",0.0128546,0.0045933,0.0063648,0.0257901,"     ","       "
"Psi sA toC g1 c123 a110 o111 t233",0.0050224,0.0014988,0.0027963,0.0090048,"     ","       "
"Psi sB toA g1 c123 a0 o1 t123",0.0320278,0.0057434,0.0224951,0.0454125,"     ","       "
"Psi sB toA g1 c123 a110 o111 t233",0.0126634,0.0016236,0.0098458,0.016274,"     ","       "
"Psi sB toC g1 c123 a0 o1 t123",0.0149623,0.0043907,0.0084004,0.026513,"     ","       "
"Psi sB toC g1 c123 a110 o111 t233",0.0058535,0.001671,0.0033426,0.0102313,"     ","       "
"Psi sC toA g1 c123 a0 o1 t123",0.1428121,0.0624168,0.0577866,0.311572,"     ","       "
"Psi sC toA g1 c123 a110 o111 t233",0.060664,0.0278774,0.024158,0.1441844,"     ","       "
"Psi sC toB g1 c123 a0 o1 t123",0.1101006,0.0586529,0.0368615,0.2856925,"     ","       "
"Psi sC toB g1 c123 a110 o111 t233",0.0457642,0.02654,0.0143637,0.1363157,"     ","       "
