"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8106807,0.0029178,0.8048956,0.8163334,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2049682,0.003473,0.1982449,0.2118592,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0229682,0.0048863,0.0151098,0.0347694,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0126457,0.0014346,0.0101216,0.0157891,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0031751,0.0011495,0.0015607,0.0064487,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0017324,0.0005553781,0.0009238992,0.003246,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0306334,0.0056173,0.0213458,0.0437812,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0169256,0.0019042,0.013571,0.0210918,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.004753,0.0014956,0.0025633,0.0087968,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0025951,0.0007488093,0.0014736,0.0045662,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0657289,0.0265363,0.0292782,0.1409695,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0369147,0.0158373,0.015756,0.0840605,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0426774,0.0220889,0.0152149,0.1139723,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.023712,0.0128105,0.0081432,0.0670345,"     ","       "
