"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.9138835,0.0048707,0.9038452,0.9229632,"     ","       "
"p sA g1 c118 a1 o1 t119",0.5819632,0.0388011,0.5045591,0.6555303,"     ","       "
"p sA g1 c118 a115 o115 t233",0.28388,0.0094715,0.2656876,0.3028044,"     ","       "
"p sB g1 c118 a1 o1 t119",0.6619124,0.031257,0.5982228,0.7202276,"     ","       "
"p sB g1 c118 a115 o115 t233",0.3579425,0.0224652,0.3152045,0.4030645,"     ","       "
"p sC g1 c118 a1 o1 t119",0.0047013,0.0007771154,0.0033995,0.0064983,"     ","       "
"p sC g1 c118 a115 o115 t233",0.0013432,0.0002050956,0.0009957481,0.0018117,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0235672,0.0041867,0.0166157,0.0333284,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0078149,0.0011417,0.0058672,0.0104023,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.3906519,0.028565,0.3363122,0.4478469,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.1730161,0.0098838,0.1544922,0.1932533,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0376488,0.0052906,0.0285459,0.0495067,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0126059,0.0017976,0.0095279,0.0166616,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.4685021,0.0211465,0.4273656,0.5100712,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.2233956,0.0191322,0.1881414,0.2631149,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0173584,0.002626,0.0128951,0.0233299,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0057317,0.0010051,0.0040634,0.0080794,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0219757,0.0030931,0.0166645,0.0289298,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0072792,0.0013871,0.0050082,0.0105692,"     ","       "
