"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8424049,0.0088807,0.8242078,0.8590405,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8208652,0.0043875,0.8121038,0.829304,"     ","       "
"S sB g1 c118 a0 o1 t118",0.852751,0.0079111,0.8365607,0.8675914,"     ","       "
"S sB g1 c118 a115 o116 t233",0.832344,0.0049604,0.8223952,0.8418427,"     ","       "
"S sC g1 c118 a0 o1 t118",0.234494,0.029821,0.181129,0.2978625,"     ","       "
"S sC g1 c118 a115 o116 t233",0.2079843,0.0262303,0.1612145,0.2640512,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2153692,0.0035847,0.2084264,0.2224783,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0284818,0.0055694,0.0193772,0.0416825,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0120907,0.0013764,0.0096699,0.0151083,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0110367,0.0041059,0.0053106,0.0227955,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0046372,0.0014917,0.0024667,0.0087011,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0374053,0.0061564,0.0270422,0.0515295,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0159632,0.0018013,0.0127911,0.0199061,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.0134925,0.0040538,0.0074729,0.0242424,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0056772,0.0016605,0.0031976,0.0100602,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.1338417,0.0570564,0.0556159,0.2884845,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0605988,0.0269554,0.0248665,0.14029,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0995064,0.0518227,0.0343473,0.2555625,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0440964,0.0247481,0.0143857,0.1272463,"     ","       "
