"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8057295,0.0137973,0.7772534,0.8313551,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8167702,0.0061104,0.8044891,0.8284443,"     ","       "
"S sB g1 c118 a0 o1 t118",1,0,1,1,"     ","       "
"S sB g1 c118 a115 o116 t233",1,0,1,1,"     ","       "
"S sC g1 c118 a0 o1 t118",0.8885419,0.0083751,0.8710395,0.9039309,"     ","       "
"S sC g1 c118 a115 o116 t233",0.8954867,0.0052882,0.8846587,0.9054069,"     ","       "
"p sA g1 c118 a1 o1 t119",0.3048197,0.0223979,0.2627705,0.3503997,"     ","       "
"p sA g1 c118 a115 o115 t233",0.2505055,0.0062455,0.2384645,0.2629445,"     ","       "
"p sB g1 c118 a1 o1 t119",0.6649231,0.0269316,0.6102566,0.7154966,"     ","       "
"p sB g1 c118 a115 o115 t233",0.6020091,0.0236753,0.5548208,0.6473747,"     ","       "
"p sC g1 c118 a1 o1 t119",0.003159,0.0004911903,0.0023288,0.0042838,"     ","       "
"p sC g1 c118 a115 o115 t233",0.0024098,0.0003204543,0.0018567,0.003127,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0094532,0.0015535,0.0068471,0.0130384,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0072376,0.0010373,0.0054637,0.0095818,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0478726,0.0097924,0.0319462,0.0711552,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0369882,0.0067727,0.0257776,0.05281,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0251442,0.0036322,0.0189263,0.0333355,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0193225,0.0026072,0.014823,0.0251531,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.5308605,0.0206276,0.4903164,0.5710014,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.4636368,0.0146159,0.4351406,0.4923725,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0053401,0.0009667539,0.0037439,0.0076118,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0040845,0.0006875181,0.0029361,0.0056795,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0298276,0.0029405,0.0245735,0.0361634,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0229471,0.0019069,0.0194923,0.0269973,"     ","       "
