"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8424043,0.0088807,0.8242072,0.8590399,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8208653,0.0043875,0.8121039,0.829304,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8527504,0.0079111,0.8365601,0.8675908,"     ","       "
"S sB g1 c118 a115 o116 t233",0.832344,0.0049604,0.8223952,0.8418427,"     ","       "
"S sC g1 c118 a0 o1 t118",0.2344923,0.029821,0.1811273,0.297861,"     ","       "
"S sC g1 c118 a115 o116 t233",0.2079836,0.0262304,0.1612136,0.2640507,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2153693,0.0035847,0.2084265,0.2224784,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0284813,0.0055693,0.0193768,0.0416818,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0120907,0.0013764,0.0096699,0.0151083,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0110365,0.0041058,0.0053105,0.0227951,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0046372,0.0014917,0.0024667,0.0087011,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0374051,0.0061563,0.027042,0.0515291,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0159634,0.0018013,0.0127912,0.0199063,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.0134922,0.0040537,0.0074728,0.024242,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0056772,0.0016605,0.0031976,0.0100602,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.1338418,0.0570563,0.055616,0.2884844,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0605998,0.0269558,0.024867,0.140292,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0995062,0.0518223,0.0343474,0.2555611,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.044097,0.0247483,0.014386,0.127247,"     ","       "
