"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c233 a0 o1 t233",0.8228231,0.0043573,0.8141207,0.8312026,"     ","       "
"S sB g1 c233 a0 o1 t233",0.8306413,0.0051343,0.8203389,0.8404679,"     ","       "
"S sC g1 c233 a0 o1 t233",0.1340027,0.0228446,0.0951888,0.1854002,"     ","       "
"p sA g1 c233 a1 o1 t234",0.216028,0.0038448,0.2085874,0.223659,"     ","       "
"Psi sA toB g1 c233 a0 o1 t233",0.0111917,0.0014033,0.0087503,0.0143043,"     ","       "
"Psi sA toC g1 c233 a0 o1 t233",0.0039859,0.001375,0.0020256,0.0078284,"     ","       "
"Psi sB toA g1 c233 a0 o1 t233",0.0198278,0.0021548,0.016017,0.0245227,"     ","       "
"Psi sB toC g1 c233 a0 o1 t233",0.0061848,0.0019684,0.0033113,0.0115234,"     ","       "
"Psi sC toA g1 c233 a0 o1 t233",0.0396412,0.0344954,0.0069406,0.196003,"     ","       "
"Psi sC toB g1 c233 a0 o1 t233",0.0784121,0.0423378,0.0262767,0.2115188,"     ","       "
