"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c123 a0 o1 t123",0.7827278,0.0205044,0.7398754,0.8202359,"     ","       "
"S sB g1 c123 a0 o1 t123",0.8551201,0.0111556,0.8318575,0.8756455,"     ","       "
"S sC g1 c123 a0 o1 t123",0.7485334,0.044188,0.6526455,0.825047,"     ","       "
"p sA g1 c123 a1 o1 t124",0.2101181,0.011225,0.188961,0.2329635,"     ","       "
"Psi sA toB g1 c123 a0 o1 t123",0.0445406,0.0118698,0.0262761,0.074529,"     ","       "
"Psi sA toC g1 c123 a0 o1 t123",0.0040734,0.0041006,0.0005637507,0.0288028,"     ","       "
"Psi sB toA g1 c123 a0 o1 t123",0.0186453,0.0055548,0.0103706,0.0333003,"     ","       "
"Psi sB toC g1 c123 a0 o1 t123",0.0049615,0.0028841,0.0015842,0.0154278,"     ","       "
"Psi sC toA g1 c123 a0 o1 t123",0.0660815,0.0320749,0.0249123,0.1638532,"     ","       "
"Psi sC toB g1 c123 a0 o1 t123",0.0179226,0.0176345,0.0025546,0.1150753,"     ","       "
