"","model","npar","AICc","DeltaAICc","weight"
"16","S(~-1 + stratum * PB_time)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",20,29842.3878574423,0,0.806451282754957
"15","S(~-1 + stratum * PB_time)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",14,29845.5159036217,3.12804617932125,0.168784102853824
"14","S(~-1 + stratum * PB_time)p(~1)Psi(~-1 + stratum:tostratum)",13,29849.3543128492,6.96645540681493,0.0247646141775198
"13","S(~-1 + stratum * PB_time)p(~1)Psi(~1)",8,29886.5113583608,44.1235009184056,2.11486013806411e-10
"8","S(~-1 + stratum + PB_time)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",18,29895.6702702865,53.2824128441061,2.16994735062794e-12
"12","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",17,29903.8420778443,61.4542204019635,3.64723487475475e-14
"7","S(~-1 + stratum + PB_time)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",12,29907.2711221945,64.8832647521667,6.5668366322619e-15
"11","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",11,29914.740331538,72.3524740956527,0
"6","S(~-1 + stratum + PB_time)p(~1)Psi(~-1 + stratum:tostratum)",11,29926.556331538,84.1684740956516,0
"10","S(~-1 + stratum)p(~1)Psi(~-1 + stratum:tostratum)",10,29932.5149407599,90.1270833175986,0
"5","S(~-1 + stratum + PB_time)p(~1)Psi(~1)",6,29970.2833740405,127.895516598128,0
"9","S(~-1 + stratum)p(~1)Psi(~1)",5,29977.1489808612,134.761123418895,0
"4","S(~1)p(~1)Psi(~-1 + stratum:tostratum * PB_time)",15,30579.5078946318,737.120037189463,0
"3","S(~1)p(~1)Psi(~-1 + stratum:tostratum + PB_time)",9,30582.9479497407,740.560092298379,0
"2","S(~1)p(~1)Psi(~-1 + stratum:tostratum)",8,30591.1593583608,748.771500918407,0
"1","S(~1)p(~1)Psi(~1)",3,30697.7233918677,855.335534425303,0
