"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c123 a0 o1 t123",0.7635878,0.0199298,0.7223332,0.8004067,"     ","       "
"S sA g1 c123 a110 o111 t233",0.7991792,0.0044241,0.7903676,0.8077104,"     ","       "
"S sB g1 c123 a0 o1 t123",0.8378504,0.0111434,0.8148074,0.8585241,"     ","       "
"S sB g1 c123 a110 o111 t233",0.7968863,0.0053149,0.7862699,0.8071046,"     ","       "
"S sC g1 c123 a0 o1 t123",0.7185917,0.0451234,0.6224892,0.798162,"     ","       "
"S sC g1 c123 a110 o111 t233",0.1076771,0.0190822,0.0755817,0.1511727,"     ","       "
"p sA g1 c123 a1 o1 t124",0.2584537,0.0041029,0.2504938,0.2665765,"     ","       "
"Psi sA toB g1 c123 a0 o1 t123",0.0447103,0.0117011,0.0266289,0.0741341,"     ","       "
"Psi sA toB g1 c123 a110 o111 t233",0.010746,0.0013894,0.0083377,0.0138401,"     ","       "
"Psi sA toC g1 c123 a0 o1 t123",0.00399,0.0040173,0.0005520657,0.0282325,"     ","       "
"Psi sA toC g1 c123 a110 o111 t233",0.0041421,0.0013286,0.0022074,0.0077591,"     ","       "
"Psi sB toA g1 c123 a0 o1 t123",0.0179643,0.0053525,0.0099922,0.0320907,"     ","       "
"Psi sB toA g1 c123 a110 o111 t233",0.0154778,0.0019496,0.0120863,0.0198018,"     ","       "
"Psi sB toC g1 c123 a0 o1 t123",0.0065541,0.0033005,0.0024369,0.0175055,"     ","       "
"Psi sB toC g1 c123 a110 o111 t233",0.006591,0.0019639,0.0036721,0.0118027,"     ","       "
"Psi sC toA g1 c123 a0 o1 t123",0.064839,0.0314473,0.0244748,0.1607997,"     ","       "
"Psi sC toA g1 c123 a110 o111 t233",0.026684,0.0278929,0.0033295,0.1836694,"     ","       "
"Psi sC toB g1 c123 a0 o1 t123",0.0185148,0.0181248,0.0026636,0.1175764,"     ","       "
"Psi sC toB g1 c123 a110 o111 t233",0.0764251,0.0410869,0.0257596,0.2057018,"     ","       "
