"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.8280834,0.0091673,0.8093652,0.8453149,"     ","       "
"S sA g1 c118 a115 o116 t233",0.7997468,0.0045164,0.7907477,0.8084525,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8296203,0.008641,0.8120094,0.8458945,"     ","       "
"S sB g1 c118 a115 o116 t233",0.8014763,0.0052854,0.7909132,0.8116327,"     ","       "
"S sC g1 c118 a0 o1 t118",0.2179933,0.0278659,0.1682912,0.277477,"     ","       "
"S sC g1 c118 a115 o116 t233",0.1877357,0.0238871,0.1453166,0.2390737,"     ","       "
"p sA g1 c118 a1 o1 t119",0.243412,0.0040601,0.2355428,0.2514577,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.028637,0.005772,0.0192521,0.0423991,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0114309,0.001383,0.0090149,0.014485,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0109557,0.0042257,0.0051313,0.0232365,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0043258,0.001452,0.0022389,0.0083419,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0314729,0.0055157,0.0222849,0.0442774,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.012585,0.0016492,0.0097306,0.016263,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.0158855,0.0045468,0.0090457,0.0277525,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0062913,0.0017664,0.0036258,0.0108951,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.1254291,0.05782,0.048564,0.2872258,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0532555,0.0256857,0.0203038,0.1324549,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.1127473,0.0567451,0.0401255,0.2786495,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0474748,0.0261418,0.0157976,0.1340213,"     ","       "
