"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.7708733,0.0172704,0.7352847,0.8029596,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8028052,0.0045064,0.7938233,0.8114888,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8333963,0.0109708,0.8107706,0.8538045,"     ","       "
"S sB g1 c118 a115 o116 t233",0.8001202,0.0053812,0.789364,0.8104591,"     ","       "
"S sC g1 c118 a0 o1 t118",0.6459348,0.0500596,0.5429448,0.7369608,"     ","       "
"S sC g1 c118 a115 o116 t233",0.1170653,0.0208878,0.0819149,0.1645948,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2437407,0.0040589,0.2358735,0.2517838,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0197686,0.0043064,0.012878,0.0302332,"     ","       "
"Psi sA toB g1 c118 a115 o116 t233",0.0118694,0.0014366,0.0093598,0.0150417,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0062763,0.0023549,0.0030042,0.0130656,"     ","       "
"Psi sA toC g1 c118 a115 o116 t233",0.0037478,0.0012316,0.0019669,0.0071298,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0237346,0.004626,0.0161731,0.0347066,"     ","       "
"Psi sB toA g1 c118 a115 o116 t233",0.0142737,0.001812,0.0111249,0.0182973,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.00981,0.0029718,0.0054097,0.0177256,"     ","       "
"Psi sB toC g1 c118 a115 o116 t233",0.0058663,0.001628,0.0034026,0.0100957,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0604583,0.027436,0.0243607,0.1422464,"     ","       "
"Psi sC toA g1 c118 a115 o116 t233",0.0369124,0.0172355,0.0146025,0.0901882,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0517701,0.0270594,0.0181962,0.1385495,"     ","       "
"Psi sC toB g1 c118 a115 o116 t233",0.0314945,0.0168515,0.0108921,0.0876146,"     ","       "
