"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c118 a0 o1 t118",0.772168,0.0168479,0.7374757,0.8034974,"     ","       "
"S sA g1 c118 a115 o116 t233",0.8028378,0.0045177,0.7938328,0.8115428,"     ","       "
"S sB g1 c118 a0 o1 t118",0.8310555,0.0106972,0.8090416,0.8509989,"     ","       "
"S sB g1 c118 a115 o116 t233",0.8006591,0.0054151,0.7898331,0.8110609,"     ","       "
"S sC g1 c118 a0 o1 t118",0.6582917,0.0456375,0.5641539,0.7414165,"     ","       "
"S sC g1 c118 a115 o116 t233",0.1136144,0.0203428,0.0794193,0.1599743,"     ","       "
"p sA g1 c118 a1 o1 t119",0.2437215,0.0040585,0.2358551,0.2517639,"     ","       "
"Psi sA toB g1 c118 a0 o1 t118",0.0124142,0.0014781,0.0098272,0.0156715,"     ","       "
"Psi sA toC g1 c118 a0 o1 t118",0.0039313,0.0012881,0.002067,0.0074643,"     ","       "
"Psi sB toA g1 c118 a0 o1 t118",0.0157862,0.0018544,0.0125346,0.0198642,"     ","       "
"Psi sB toC g1 c118 a0 o1 t118",0.0067804,0.0017933,0.0040345,0.0113739,"     ","       "
"Psi sC toA g1 c118 a0 o1 t118",0.0478737,0.0211202,0.0198735,0.1108616,"     ","       "
"Psi sC toB g1 c118 a0 o1 t118",0.0410632,0.0201723,0.0154467,0.1046464,"     ","       "
