"","estimate","se","lcl","ucl","fixed","note"
"S sA g1 c123 a0 o1 t123",0.7631271,0.0199499,0.7218359,0.7999874,"     ","       "
"S sA g1 c123 a110 o111 t233",0.8218549,0.0052196,0.8113935,0.8318562,"     ","       "
"S sB g1 c123 a0 o1 t123",0.8377233,0.0111604,0.8146446,0.8584279,"     ","       "
"S sB g1 c123 a110 o111 t233",0.8141519,0.0071023,0.7998275,0.8276721,"     ","       "
"S sC g1 c123 a0 o1 t123",0.719208,0.045122,0.6230716,0.7987446,"     ","       "
"S sC g1 c123 a110 o111 t233",0.1273341,0.0262621,0.0840952,0.1882361,"     ","       "
"p sA g1 c123 a1 o1 t124",0.2567956,0.0050577,0.2470084,0.2668332,"     ","       "
"Psi sA toB g1 c123 a0 o1 t123",0.0447441,0.0117097,0.0266492,0.0741888,"     ","       "
"Psi sA toB g1 c123 a110 o111 t233",0.0104938,0.0017064,0.0076262,0.0144241,"     ","       "
"Psi sA toC g1 c123 a0 o1 t123",0.0040041,0.0040276,0.0005550637,0.0282776,"     ","       "
"Psi sA toC g1 c123 a110 o111 t233",0.003901,0.0015419,0.0017961,0.0084519,"     ","       "
"Psi sB toA g1 c123 a0 o1 t123",0.0179662,0.0053533,0.009993,0.0320949,"     ","       "
"Psi sB toA g1 c123 a110 o111 t233",0.0206054,0.0031103,0.0153155,0.027671,"     ","       "
"Psi sB toC g1 c123 a0 o1 t123",0.0065715,0.0033094,0.0024432,0.0175526,"     ","       "
"Psi sB toC g1 c123 a110 o111 t233",0.0041739,0.0021577,0.0015129,0.0114614,"     ","       "
"Psi sC toA g1 c123 a0 o1 t123",0.0647296,0.0313897,0.0244381,0.1605203,"     ","       "
"Psi sC toA g1 c123 a110 o111 t233",0.0233943,0.0243608,0.0029545,0.1622309,"     ","       "
"Psi sC toB g1 c123 a0 o1 t123",0.0184859,0.0180432,0.0026749,0.1168095,"     ","       "
"Psi sC toB g1 c123 a110 o111 t233",0.0477646,0.0345866,0.0111736,0.1821138,"     ","       "
